"question1","question2","is_duplicate"
"how do you plan your retirement","retirement planning be pay yourself first whether you use a qualified plan or nonqualified plan you need determine your tax bracket and if you be invest in the market you need determine your risk tolerance plan have differ contribution limit so you need establish the amount of contribution when will you retire and your life expectancy","1"
"Will Getting Married Affect My Car Insurance","unlike what you see on television insurance not do come in package on the shelf of a store each renter be individually underwrite meet the specific requirement of that renter the average renter in my agency pay around $10 month for renter insurance the company report a slightly high figure but neither figure bear any resemblance to what your premium may be","0"
"can I get Disability Insurance in Rhode Island if I be pregnant","unfortunately it be not possible purchase disability insurance that will cover your pregnancy after you be pregnant in Rhode Island or other state the pregnancy be consider a pre-existing condition if you be buy the disability insurance with the idea of exclude pregnancy related extend absence it may be possible some disability policy will cover you with an exclusion","1"
"how bill Medicare part b for pharmacy","the upper end of cost can be anything depending on amount and health the low I have see be 0 at least one company will give a small child rider at no cost on a parent or grandparent policy many child rider fall in the range of $20000 for for about $8 per month however that cover all minor child so if you have 4 child your per child cost will be $2 coverage usually stay in force as long as the base plan do up to the child age 25 and be convertible to 5 time the original amount with no evidence of good health this can be a very important feature individual plan run a very wide range base on the type and amount recently we write a child with a lung disease $25000 of whole life at about $20 per month and a 17 year old $250000 term for about $14 per month so the answer be $0 to a lot good talk to an independent agent","0"
"do CA 50/50 marriage law play into party when it come to life insurance","California be a community property state the assumption be the money use purchase the life insurance policy come from community property fund ; therefore the spouse have half ownership of the insurance policy most company will require the spouse sign the application unless they be name as the primary beneficiary I just have a man come in and do that","1"
"can I get Health Insurance when I be pregnant","yes if a lightning strike start a fire at the property you be rent and your personal belonging be destroy  then your renter insurance policy will cover your belonging up to the policy limit just be sure you have enough personal property coverage replace all your belonging I hope this answer your question","0"
"what be Life Insurance death benefit","life insurance death benefit generally a tax free lump sum proceed distribute to the beneficiary of a life insurance policy on the death of the policy insured life insurance death benefit indemnify family member  business associate or charitable organization at the demise of the insured of the policy","1"
"do auto insurance cover break Ins","Index Universal Life Insurance allow you allocate cash value in the policy to either a fixed account  an equity index account or both you be guarantee not lose your principal even if the market drop but your earnings be cap at lower than what you may earn if you be willing risk the principal in a variable product IUL be popular for those who want life insurance  want take some advantage of the market and do not want the risk of lose their investment","0"
"what be the different Medigap plan","add to what be above the different lettered plan be A  b  c  d  f  g  k  l  m and N. there be also what be know as a high deductible plan f which feature the same benefit as a regular plan f the different you be take on a deductible ( $2140 in 2014 get low premium plan n can be very competitive to plan f and g","1"
"how old do you have be get long term care insurance","it be always a good idea have a conversation with your Insurance Professional about the specific term and condition of your policy but damage cause fire be generally a cover peril in a standard homeowner policy if the source of the fire be a defect or flaw in your electrical system that need attention this be perhaps due to the age of the system talk to your agent make sure you have coverage upgrade your system before such a loss occur not only may that provide good coverage shall you suffer such a loss but system upgrade may also result in an additional discount save you money on your homeowner premium","0"
